Single String Address,NUMBER,STREET,CITY,STATE,POSTCODE,Pre Street Direction,Street Name,Street Type,Post Street Direction,Street Number,Unit Type,Unit Number
4920 SW  FORNEY ST,4920,SW  FORNEY ST,SEATTLE,WA,98116.0,SW,FORNEY,ST,,4920,,
2676 S  300TH ST,2676,S  300TH ST,FEDERAL WAY,WA,98003.0,S,300TH,ST,,2676,,
1924 S McClellan St,1924,S McClellan St,Spokane,WA,99203.0,S,McClellan,St,,1924,,
1513 INDEX AVE NE,1513,INDEX AVE NE,RENTON,WA,98056.0,,INDEX,AVE,NE,1513,,
1018 S  225TH LN,1018,S  225TH LN,DES MOINES,WA,98198.0,S,225TH,LN,,1018,,
10801 CIRCLE DR,10801,CIRCLE DR,BOTHELL,WA,98011.0,,CIRCLE,DR,,10801,,
297 ROOKS PARK RD,297,ROOKS PARK RD,WALLA WALLA CO,WA,99362.0,,ROOKS PARK,RD,,297,,
30426 16TH AVE SW,30426,16TH AVE SW,FEDERAL WAY,WA,98023.0,,16TH,AVE,SW,30426,,
26118 162ND AVE SE,26118,162ND AVE SE,COVINGTON,WA,98042.0,,162ND,AVE,SE,26118,,
1505 S H St,1505,S H St,Spokane,WA,99224.0,S,H,St,,1505,,
4741 UNIVERSITY VIEW PL NE,4741,UNIVERSITY VIEW PL NE,SEATTLE,WA,98105.0,,UNIVERSITY VIEW,PL,NE,4741,,
3510 E 48th Ct,3510,E 48th Ct,Spokane,WA,99223.0,E,48th,Ct,,3510,,
9705 SE  41ST ST,9705,SE  41ST ST,MERCER ISLAND,WA,98040.0,SE,41ST,ST,,9705,,
15828 51ST AVE S,15828,51ST AVE S,TUKWILA,WA,98188.0,,51ST,AVE,S,15828,,
13000 BEACON COAL MINE RD S,13000,BEACON COAL MINE RD S,TUKWILA,WA,98178.0,,BEACON COAL MINE,RD,S,13000,,
3213 SW  114TH ST,3213,SW  114TH ST,SEATTLE,WA,98146.0,SW,114TH,ST,,3213,,
6018 LAKEVIEW DR,6018,LAKEVIEW DR,KIRKLAND,WA,98033.0,,LAKEVIEW,DR,,6018,,
2306 NW  199TH ST,2306,NW  199TH ST,SHORELINE,WA,98177.0,NW,199TH,ST,,2306,,
3711 SW  ELMGROVE ST,3711,SW  ELMGROVE ST,SEATTLE,WA,98126.0,SW,ELMGROVE,ST,,3711,,
912 SW  120TH ST,912,SW  120TH ST,BURIEN,WA,98146.0,SW,120TH,ST,,912,,
1812 251ST PL SE,1812,251ST PL SE,SAMMAMISH,WA,98075.0,,251ST,PL,SE,1812,,
1061 TORAL PL,1061,TORAL PL,WALLA WALLA,WA,99362.0,,TORAL,PL,,1061,,
17039 122ND AVE SE,17039,122ND AVE SE,RENTON,WA,98058.0,,122ND,AVE,SE,17039,,
15347 26TH AVE NE,15347,26TH AVE NE,SHORELINE,WA,98155.0,,26TH,AVE,NE,15347,,
24009 SE  9TH CT,24009,SE  9TH CT,SAMMAMISH,WA,98075.0,SE,9TH,CT,,24009,,
3450 SW  111TH ST,3450,SW  111TH ST,SEATTLE,WA,98146.0,SW,111TH,ST,,3450,,
3801 140TH AVE SE,3801,140TH AVE SE,BELLEVUE,WA,98006.0,,140TH,AVE,SE,3801,,
12971 76TH AVE NE,12971,76TH AVE NE,KIRKLAND,WA,98034.0,,76TH,AVE,NE,12971,,
13716 463RD AVE SE,13716,463RD AVE SE,NORTH BEND,WA,98045.0,,463RD,AVE,SE,13716,,
5111 S Pittsburg St,5111,S Pittsburg St,Spokane,WA,99223.0,S,Pittsburg,St,,5111,,
464 HOOD PARK RD,464,HOOD PARK RD,BURBANK,WA,99323.0,,HOOD PARK,RD,,464,,
21 FOSTER RD,21,FOSTER RD,WALLA WALLA CO,WA,99362.0,,FOSTER,RD,,21,,
15420 SE  20TH PL,15420,SE  20TH PL,BELLEVUE,WA,98007.0,SE,20TH,PL,,15420,,
9827 BELFAIR RD,9827,BELFAIR RD,BELLEVUE,WA,98004.0,,BELFAIR,RD,,9827,,
3939 SE  10TH PL,3939,SE  10TH PL,RENTON,WA,98058.0,SE,10TH,PL,,3939,,
11705 35TH AVE NE,11705,35TH AVE NE,SEATTLE,WA,98125.0,,35TH,AVE,NE,11705,,
1513 E Cambridge Ln,1513,E Cambridge Ln,Spokane,WA,99203.0,E,Cambridge,Ln,,1513,,
204 NW  SCHNABEL LN,204,NW  SCHNABEL LN,COLLEGE PLACE,WA,99324.0,NW,SCHNABEL,LN,,204,,
15911 112TH AVE NE,15911,112TH AVE NE,BOTHELL,WA,98011.0,,112TH,AVE,NE,15911,,
12307 SE  315TH PL,12307,SE  315TH PL,AUBURN,WA,98092.0,SE,315TH,PL,,12307,,
10628 NE  28TH PL,10628,NE  28TH PL,BELLEVUE,WA,98004.0,NE,28TH,PL,,10628,,
10019 VALMAY AVE NW,10019,VALMAY AVE NW,SEATTLE,WA,98177.0,,VALMAY,AVE,NW,10019,,
27223 103RD PL SE,27223,103RD PL SE,KENT,WA,98030.0,,103RD,PL,SE,27223,,
24823 SE  22ND CT,24823,SE  22ND CT,SAMMAMISH,WA,98075.0,SE,22ND,CT,,24823,,
2336 RAINIER ST,2336,RAINIER ST,WALLA WALLA,WA,99362.0,,RAINIER,ST,,2336,,
3425 NE  197TH LN,3425,NE  197TH LN,LAKE FOREST PARK,WA,98155.0,NE,197TH,LN,,3425,,
7203 N Old Fort Ct,7203,N Old Fort Ct,Spokane,WA,99208.0,N,Old Fort,Ct,,7203,,
16720 CORLISS PL N,16720,CORLISS PL N,SHORELINE,WA,98133.0,,CORLISS,PL,N,16720,,
616 1ST AVE,616,1ST AVE,SEATTLE,WA,98104.0,,1ST,AVE,,616,,
15307 ASHWORTH PL N,15307,ASHWORTH PL N,SHORELINE,WA,98133.0,,ASHWORTH,PL,N,15307,,
822 E  GWINN PL,822,E  GWINN PL,SEATTLE,WA,98102.0,E,GWINN,PL,,822,,
5523 161ST PL NE,5523,161ST PL NE,REDMOND,WA,98052.0,,161ST,PL,NE,5523,,
"1732 BROADWAY, STE 20",1732,BROADWAY,SEATTLE,WA,98122.0,,BROADWAY,,,1732,STE,20
5 - 433 10TH AVE,433,10TH AVE,KIRKLAND,WA,98033.0,,10TH,AVE,,433,,5
"APT 20, 1420 10TH AVE",1420,10TH AVE,SEATTLE,WA,98122.0,,10TH,AVE,,1420,APT,20
"210 10TH ST, BLDG A",210,10TH ST,KIRKLAND,WA,98033.0,,10TH,ST,,210,BLDG,A
#23 137 11TH AVE,137,11TH AVE,KIRKLAND,WA,98033.0,,11TH,AVE,,137,,23
APT A 167 11TH AVE,167,11TH AVE,SEATTLE,WA,98122.0,,11TH,AVE,,167,APT,A
UNIT 123 - 319 11TH PL,319,11TH PL,KIRKLAND,WA,98033.0,,11TH,PL,,319,UNIT,123
"3 BRITISH PROPERTY WAY, UNIT 20",89,HWY 730,WALLULA,WA,99363.0,,HWY,HWY,,89,UNIT,20
26-2625 ST. JAMES PLACE,89,HWY 730,WALLULA,WA,99363.0,,HWY,HWY,,89,,26
49338 ST JOHN ST. APT 20,89,HWY 730,WALLULA,WA,99363.0,,HWY,HWY,,89,APT,20
315 BLDG 63 ARMY DR,315 BLDG 63,ARMY DR,WALLA WALLA,WA,99362.0,,ARMY,DR,,315,BLDG,63
45-3002 BRISBANE ST,3002,BRISBANE ST,WALLA WALLA CO,WA,99362.0,,BRISBANE,ST,,3002,,45
956 - 26715 BRISTOL CT,26715,BRISTOL CT,KENT,WA,98032.0,,BRISTOL,CT,,26715,,956
UNIT 10 744 BROADWAY  E,744,BROADWAY  E,SEATTLE,WA,98102.0,,BROADWAY,,E,744,UNIT,10
APT 23 536 BUTTE AVE,536,BUTTE AVE,PACIFIC,WA,98047.0,,BUTTE,AVE,,536,APT,23
UNIT F 999 F ST,999,F ST,WALLA WALLA CO,WA,99362.0,,F,ST,,999,UNIT,F
#45-1805 GARDEN ST,1805,GARDEN ST,WALLA WALLA,WA,99362.0,,GARDEN,ST,,1805,,45
2 - 89 HWY 730,89,HWY 730,WALLULA,WA,99363.0,,HWY,HWY,,89,,2
UNIT 30 - 89 HWY 730,89,HWY 730,WALLULA,WA,99363.0,,HWY,HWY,,89,UNIT,30
550 BLDG 140 NAVY DR,550 BLDG 140,NAVY DR,WALLA WALLA,WA,99362.0,,NAVY,DR,,550,BLDG,140
101 A1 OPAL AVE,101 A1,OPAL AVE,PRESCOTT,WA,99348.0,,OPAL,AVE,,101,,A1
1350 BLDG 86 PARADE LOOP,1350 BLDG 86,PARADE LOOP,WALLA WALLA,WA,99362.0,,PARADE,LOOP,,1350,BLDG,86
311 A ROSEHAVEN ST,311 A,ROSEHAVEN ST,WALLA WALLA,WA,99362.0,,ROSEHAVEN,ST,,311,,A
45 A TERMINAL LOOP,45 A,TERMINAL LOOP,WALLA WALLA CO,WA,99362.0,,TERMINAL,LOOP,,45,,A
87 BLDG 78 WAINWRIGHT DR,87 BLDG 78,WAINWRIGHT DR,WALLA WALLA,WA,99362.0,,WAINWRIGHT,DR,,87,BLDG,78
"234 10TH AVE E, APT 2",234,10TH AVE E,SEATTLE,WA,98102.0,,10TH,AVE,E,234,APT,2
20 - 2706 11TH AVE E,2706,11TH AVE E,SEATTLE,WA,98102.0,,11TH,AVE,E,2706,,20
"107 11TH AVE E, STE 34",107,11TH AVE E,SEATTLE,WA,98122.0,,11TH,AVE,E,107,STE,34
34-946 12TH AVE E,946,12TH AVE E,SEATTLE,WA,98102.0,,12TH,AVE,E,946,,34
305 BLDG 76 AIR FORCE DR,305 BLDG 76,AIR FORCE DR,WALLA WALLA,WA,99362.0,,AIR FORCE,DR,,305,BLDG,76
1398 BLDG 1 COAST GUARD DR,1398 BLDG 1,COAST GUARD DR,WALLA WALLA,WA,99362.0,,COAST GUARD,DR,,1398,BLDG,1
15 A LADO VIEJO RD,15 A,LADO VIEJO RD,WALLA WALLA CO,WA,99362.0,,LADO VIEJO,RD,,15,,A
1355 BLDG 80 MARINE CORPS DR,1355 BLDG 80,MARINE CORPS DR,WALLA WALLA,WA,99362.0,,MARINE CORPS,DR,,1355,BLDG,80
203 BLDG 41 MEDICAL CENTER DR,203 BLDG 41,MEDICAL CENTER DR,WALLA WALLA,WA,99362.0,,MEDICAL CENTER,DR,,203,BLDG,41
1041 A N  15TH AVE,1041 A,N  15TH AVE,WALLA WALLA,WA,99362.0,N,15TH,AVE,,1041,,A
1410 A S HWY 125,1410 A,S HWY 125,WALLA WALLA,WA,99362.0,S,125,HWY,,1410,,A
450 A W  MAPLE ST,450 A,W  MAPLE ST,WALLA WALLA,WA,99362.0,W,MAPLE,ST,,450,,A
