ID,plain,tags,number
614,26320 STERETT RD N            ,[26320] [STERETT] [RD] [N],4
1333,5373 GUIDE MERIDIAN RD #C1-2  ,[5373] [GUIDE] [MERIDIAN] [RD] [#] [C1-] [2],7
474,8213 STEAM BOAT ISLAND RD NW  ,[8213] [STEAM] [BOAT] [ISLAND] [RD] [NW],6
1044,2232 PORT OF TACOMA RD        ,[2232] [PORT] [OF] [TACOMA] [RD],5
1083,16212 MAY CREEK ROAD          ,[16212] [MAY] [CREEK] [ROAD],4
1108,"421 CHESAW RD LOT 1, UNIT A   ","[421] [CHESAW] [RD] [LOT] [1,] [UNIT] [A]",7
646,126 NEWMAN CREEK RD           ,[126] [NEWMAN] [CREEK] [RD],4
1056,3049 BAKIE RD                 ,[3049] [BAKIE] [RD],3
321,1250 W SCHREIBER RD           ,[1250] [W] [SCHREIBER] [RD],4
1006,6123 199TH AVE SE  STE 2      ,[6123] [199TH] [AVE] [SE] [STE] [2],6
43,145 GREENACRES RD STE 3       ,[145] [GREENACRES] [RD] [STE] [3],5
1180,11503 60TH ST NE              ,[11503] [60TH] [ST] [NE],4
515,2916 STATE STREET             ,[2916] [STATE] [STREET],3
687,1571 SUMMIT VIEW RD           ,[1571] [SUMMIT] [VIEW] [RD],4
354,351 W MERZ RD STE 1           ,[351] [W] [MERZ] [RD] [STE] [1],6
637,5008 226 ST NW STE A          ,[5008] [226] [ST] [NW] [STE] [A],6
1330,3303 W HAMILTON RD            ,[3303] [W] [HAMILTON] [RD],4
374,5990 INDEPENDENCE RD STE B    ,[5990] [INDEPENDENCE] [RD] [STE] [B],5
360,192 W FREDERICKS ST           ,[192] [W] [FREDERICKS] [ST],4
454,10517 W BALMER RD #A          ,[10517] [W] [BALMER] [RD] [#A],5
288,105 MILL ST                   ,[105] [MILL] [ST],3
1337,2005 DIVISION ST              ,[2005] [DIVISION] [ST],3
1432,43112 248TH AVE SE UNIT C     ,[43112] [248TH] [AVE] [SE] [UNIT] [C],6
232,31688 D HWY 97 SUITE A        ,[31688] [D] [HWY] [97] [SUITE] [A],6
487,8531 POSTMA RD STE G          ,[8531] [POSTMA] [RD] [STE] [G],5
791,1561 WIND RIVER HWY           ,[1561] [WIND] [RIVER] [HWY],4
800,1120 S FAIRCHILD ST  STE A    ,[1120] [S] [FAIRCHILD] [ST] [STE] [A],6
644,23321 HIDDEN VALLEY RD        ,[23321] [HIDDEN] [VALLEY] [RD],4
31,960 VALLEY HWY STE A          ,[960] [VALLEY] [HWY] [STE] [A],5
661,1502 CENTER ST                ,[1502] [CENTER] [ST],3
675,3303 S 35TH ST STE B-8        ,[3303] [S] [35TH] [ST] [STE] [B-8],6
1097,103 CRESTLOCH RD              ,[103] [CRESTLOCH] [RD],3
1128,10011 173RD AVE SW            ,[10011] [173RD] [AVE] [SW],4
207,23095 BAIRD SPRINGS RD #B     ,[23095] [BAIRD] [SPRINGS] [RD] [#B],5
723,65 SIMMONS RD STE 1           ,[65] [SIMMONS] [RD] [STE] [1],5
275,5898 MT BAKER HWY B           ,[5898] [MT] [BAKER] [HWY] [B],5
1336,1401 MOORE RD STE A           ,[1401] [MOORE] [RD] [STE] [A],5
1249,30320 OLD 99 N                ,[30320] [OLD] [99] [N],4
423,421 CHESAW RD                 ,[421] [CHESAW] [RD],3
1203,1926 PINE CR RD  #3           ,[1926] [PINE] [CR] [RD] [#3],5
238,2310 WEST SUTTON RD STE D1    ,[2310] [WEST] [SUTTON] [RD] [STE] [D1],6
107,12917 S SHORT RD STE A        ,[12917] [S] [SHORT] [RD] [STE] [A],6
1017,17830 DANE LN SW              ,[17830] [DANE] [LN] [SW],4
258,8618 99TH AVE NE STE A        ,[8618] [99TH] [AVE] [NE] [STE] [A],6
200,2381 COOKE CANYON RD #A       ,[2381] [COOKE] [CANYON] [RD] [#A],5
372,126 NEWMAN CREEK RD UNIT 4    ,[126] [NEWMAN] [CREEK] [RD] [UNIT] [4],6
1116,931 GOERIG RD                 ,[931] [GOERIG] [RD],3
949,6481 PORTAL WAY STE A         ,[6481] [PORTAL] [WAY] [STE] [A],5
142,728 TURKEY RANCH RD STE A     ,[728] [TURKEY] [RANCH] [RD] [STE] [A],6
261,1802 BIRCHFIELD RD            ,[1802] [BIRCHFIELD] [RD],3
143,5256 UPPER HEDGES ROAD  STE B ,[5256] [UPPER] [HEDGES] [ROAD] [STE] [B],6
561,56104 NORTH THOMAS ROAD       ,[56104] [NORTH] [THOMAS] [ROAD],4
519,26867 156TH PL SE             ,[26867] [156TH] [PL] [SE],4
769,8040 DAY RD W BLDG 3 UNIT 2   ,[8040] [DAY] [RD] [W] [BLDG] [3] [UNIT] [2],8
1231,139 GREENACRES RD             ,[139] [GREENACRES] [RD],3
503,3214 NE 65TH ST               ,[3214] [NE] [65TH] [ST],4
1005,1512 ROAD 2 NW STE A          ,[1512] [ROAD] [2] [NW] [STE] [A],6
490,14840 RAINIER VIEW DR SE      ,[14840] [RAINIER] [VIEW] [DR] [SE],5
